n,Matrix Elements,Vector Elements,Repetitions,Total Time (s),Average Time per Calculation (s)
32,1024,32,50,0.000150,0.000003004
64,4096,64,50,0.000631,0.000012617
80,6400,80,50,0.000946,0.000018921
88,7744,88,50,0.001183,0.000023661
96,9216,96,50,0.001364,0.000027280
112,12544,112,50,0.001782,0.000035639
128,16384,128,50,0.002295,0.000045900
192,36864,192,50,0.005223,0.000104456
224,50176,224,20,0.003040,0.000151992
240,57600,240,20,0.003211,0.000160539
256,65536,256,20,0.003666,0.000183296
272,73984,272,20,0.004153,0.000207639
384,147456,384,20,0.008380,0.000418997
512,262144,512,10,0.007064,0.000706410
768,589824,768,10,0.016096,0.001609588
1024,1048576,1024,5,0.014184,0.002836800
1280,1638400,1280,5,0.022354,0.004470825
1400,1960000,1400,5,0.027172,0.005434418
1448,2096704,1448,5,0.029063,0.005812597
1536,2359296,1536,5,0.033098,0.006619596
1792,3211264,1792,5,0.044642,0.008928442
2048,4194304,2048,5,0.058303,0.011660576
3000,9000000,3000,5,0.123232,0.024646378
4000,16000000,4000,5,0.217588,0.043517590